codcfo,valorm2
00005371,86.670000
00005215,86.670000
00005043,86.670000
00005044,86.670000
00014775,86.670000
00000626,86.870000
00000654,86.950000
00003054,87.140000
00000609,87.180000
00005544,87.470000
00003019,87.730000
00000358,87.760000
00000753,87.810000
00000712,87.880000
00001350,87.890000
00000611,87.910000
00003350,88.010000
00023372,88.010000
00000650,88.070000
00003062,88.100000
00000827,88.110000
00005481,88.330000
00003830,88.590000
00016717,88.640000
00003238,88.710000
00003349,88.890000
00003357,88.890000
00003083,88.890000
00003022,88.890000
00003129,88.890000
00005284,88.890000
00004810,88.890000
00006526,88.890000
00001348,88.890000
00000596,88.890000
00000580,88.890000
00000561,88.890000
00000378,88.890000
00000247,88.890000
00000245,88.890000
00001652,88.890000
00014111,88.890000
00010691,88.890000
00018137,88.890000
00020001,88.890000
00022503,88.890000
00025985,88.890000
00024365,88.890000
00001486,88.920000
00004018,88.960000
00005202,89.030000
00012017,89.030000
00011008,89.050000
00000527,89.130000
00005071,89.190000
00005029,89.190000
00001349,89.200000
00000489,89.210000
00000593,89.420000
00000633,89.450000
00000683,89.470000
00003800,89.520000
00003056,89.650000
00003055,89.670000
00003254,89.670000
00003544,89.670000
00003546,89.670000
00004031,89.670000
00005040,89.670000
00005246,89.670000
00005370,89.670000
00000685,89.670000
00000674,89.670000
00000675,89.670000
00000689,89.670000
00000714,89.670000
00000705,89.670000
00000722,89.670000
00000750,89.670000
00000727,89.670000
00000733,89.670000
00000755,89.670000
00000756,89.670000
00000757,89.670000
00000762,89.670000
00000772,89.670000
00000655,89.670000
00000657,89.670000
00000658,89.670000
00000659,89.670000
00000672,89.670000
00000869,89.670000
00000810,89.670000
00025516,89.670000
00023470,89.670000
00018779,89.670000
00018505,89.670000
00016537,89.670000
00017287,89.670000
00000767,89.740000
00000295,89.770000
00000766,89.790000
00021356,89.820000
00000769,89.910000
00000731,89.910000
00016754,89.990000
00026636,90.030000
00003513,90.160000
00000638,90.210000
00003383,90.500000
00000639,90.530000
00000608,90.640000
00000290,90.670000
00006617,90.670000
00016797,90.670000
00000228,90.700000
00000634,90.750000
00000607,90.960000
00000231,91.060000
00000636,91.320000
00025119,91.320000
00004980,91.370000
00004531,91.460000
00003551,91.460000
00006494,91.460000
00006027,91.460000
00000635,91.460000
00000653,91.460000
00000656,91.460000
00000646,91.460000
00000649,91.460000
00000734,91.460000
00000735,91.460000
00000736,91.460000
00000737,91.460000
00000768,91.460000
00000758,91.460000
00000759,91.460000
00000760,91.460000
00000710,91.460000
00000720,91.460000
00000701,91.460000
00000702,91.460000
